Date,Service,Region,UsageType,UsageAmount,Cost
2025-07-01,EC2,ap-south-1,OnDemandHours,309.55,45.49
2025-07-01,S3,eu-central-1,StorageGB,235.97,12.06
2025-07-01,Lambda,ap-south-1,Requests,73.81,33.27
2025-07-01,RDS,us-west-2,DBHours,347.15,63.26
2025-07-01,CloudFront,us-east-1,DataTransferGB,288.64,127.68
2025-07-02,EC2,us-east-1,OnDemandHours,421.54,75.31
2025-07-02,S3,ap-south-1,StorageGB,378.68,186.07
2025-07-02,Lambda,eu-central-1,Requests,89.39,34.41
2025-07-02,RDS,ap-south-1,DBHours,379.12,67.75
2025-07-02,CloudFront,eu-central-1,DataTransferGB,126.85,40.77
2025-07-03,EC2,us-west-2,OnDemandHours,46.18,20.94
2025-07-03,S3,us-west-2,StorageGB,149.21,68.29
2025-07-03,Lambda,us-east-1,Requests,161.65,16.09
2025-07-03,RDS,eu-central-1,DBHours,89.11,42.31
2025-07-03,CloudFront,us-east-1,DataTransferGB,54.5,8.56
2025-07-04,EC2,ap-south-1,OnDemandHours,93.71,10.9
2025-07-04,S3,us-west-2,StorageGB,232.72,75.98
2025-07-04,Lambda,us-east-1,Requests,250.9,28.04
2025-07-04,RDS,us-west-2,DBHours,481.48,146.59
2025-07-04,CloudFront,eu-central-1,DataTransferGB,101.49,26.78
2025-07-05,EC2,ap-south-1,OnDemandHours,231.48,54.91
2025-07-05,S3,ap-south-1,StorageGB,253.53,98.52
2025-07-05,Lambda,us-east-1,Requests,139.92,23.66
2025-07-05,RDS,us-west-2,DBHours,16.27,5.97
2025-07-05,CloudFront,us-east-1,DataTransferGB,311.5,68.57
2025-07-06,EC2,ap-south-1,OnDemandHours,237.44,57.36
2025-07-06,S3,ap-south-1,StorageGB,214.09,57.93
2025-07-06,Lambda,ap-south-1,Requests,271.01,108.42
2025-07-06,RDS,us-west-2,DBHours,235.8,17.63
2025-07-06,CloudFront,us-west-2,DataTransferGB,39.48,5.68
2025-07-07,EC2,eu-central-1,OnDemandHours,92.49,35.1
2025-07-07,S3,eu-central-1,StorageGB,273.3,122.02
2025-07-07,Lambda,us-west-2,Requests,457.56,210.09
2025-07-07,RDS,eu-central-1,DBHours,37.5,1.06
2025-07-07,CloudFront,eu-central-1,DataTransferGB,151.28,53.31
2025-07-08,EC2,us-west-2,OnDemandHours,55.53,20.19
2025-07-08,S3,ap-south-1,StorageGB,106.1,18.38
2025-07-08,Lambda,ap-south-1,Requests,249.3,37.21
2025-07-08,RDS,ap-south-1,DBHours,468.51,231.69
2025-07-08,CloudFront,us-east-1,DataTransferGB,136.13,60.29
2025-07-09,EC2,us-west-2,OnDemandHours,44.4,0.89
2025-07-09,S3,us-west-2,StorageGB,228.13,65.23
2025-07-09,Lambda,us-east-1,Requests,117.61,42.6
2025-07-09,RDS,ap-south-1,DBHours,120.23,33.71
2025-07-09,CloudFront,us-west-2,DataTransferGB,109.8,54.61
2025-07-10,EC2,eu-central-1,OnDemandHours,296.04,145.72
2025-07-10,S3,ap-south-1,StorageGB,199.63,13.21
2025-07-10,Lambda,ap-south-1,Requests,485.28,242.18
2025-07-10,RDS,ap-south-1,DBHours,65.36,13.78
2025-07-10,CloudFront,us-east-1,DataTransferGB,345.06,100.54
2025-07-11,EC2,us-east-1,OnDemandHours,234.18,75.57
2025-07-11,S3,eu-central-1,StorageGB,469.06,44.24
2025-07-11,Lambda,us-west-2,Requests,38.09,2.73
2025-07-11,RDS,eu-central-1,DBHours,483.0,154.24
2025-07-11,CloudFront,us-west-2,DataTransferGB,104.74,10.11
2025-07-12,EC2,ap-south-1,OnDemandHours,126.14,25.68
2025-07-12,S3,eu-central-1,StorageGB,450.25,6.11
2025-07-12,Lambda,us-west-2,Requests,292.98,118.36
2025-07-12,RDS,ap-south-1,DBHours,169.83,22.02
2025-07-12,CloudFront,us-west-2,DataTransferGB,367.25,65.54
2025-07-13,EC2,us-east-1,OnDemandHours,53.04,7.23
2025-07-13,S3,us-west-2,StorageGB,165.03,42.4
2025-07-13,Lambda,us-east-1,Requests,309.41,74.16
2025-07-13,RDS,us-east-1,DBHours,258.14,51.19
2025-07-13,CloudFront,us-west-2,DataTransferGB,130.07,51.04
2025-07-14,EC2,us-west-2,OnDemandHours,20.34,4.18
2025-07-14,S3,ap-south-1,StorageGB,352.76,5.84
2025-07-14,Lambda,us-east-1,Requests,220.64,41.24
2025-07-14,RDS,us-east-1,DBHours,255.58,50.77
2025-07-14,CloudFront,us-east-1,DataTransferGB,437.53,114.12
2025-07-15,EC2,us-east-1,OnDemandHours,183.64,87.34
2025-07-15,S3,us-east-1,StorageGB,116.75,53.54
2025-07-15,Lambda,ap-south-1,Requests,290.33,131.52
2025-07-15,RDS,us-east-1,DBHours,304.55,14.21
2025-07-15,CloudFront,eu-central-1,DataTransferGB,459.86,56.68
2025-07-16,EC2,us-west-2,OnDemandHours,59.91,20.86
2025-07-16,S3,us-west-2,StorageGB,428.23,70.33
2025-07-16,Lambda,us-east-1,Requests,458.71,161.89
2025-07-16,RDS,us-east-1,DBHours,283.97,13.29
2025-07-16,CloudFront,eu-central-1,DataTransferGB,304.81,73.49
2025-07-17,EC2,eu-central-1,OnDemandHours,466.37,36.46
2025-07-17,S3,eu-central-1,StorageGB,426.44,117.78
2025-07-17,Lambda,us-east-1,Requests,425.49,211.4
2025-07-17,RDS,eu-central-1,DBHours,64.17,31.13
2025-07-17,CloudFront,eu-central-1,DataTransferGB,341.64,57.2
2025-07-18,EC2,us-east-1,OnDemandHours,233.52,54.72
2025-07-18,S3,eu-central-1,StorageGB,479.55,184.7
2025-07-18,Lambda,us-east-1,Requests,26.3,9.56
2025-07-18,RDS,us-west-2,DBHours,229.72,47.1
2025-07-18,CloudFront,eu-central-1,DataTransferGB,275.81,48.49
2025-07-19,EC2,us-west-2,OnDemandHours,95.74,38.27
2025-07-19,S3,us-east-1,StorageGB,401.69,186.83
2025-07-19,Lambda,eu-central-1,Requests,405.18,169.69
2025-07-19,RDS,ap-south-1,DBHours,285.69,46.66
2025-07-19,CloudFront,ap-south-1,DataTransferGB,255.52,59.61
2025-07-20,EC2,eu-central-1,OnDemandHours,143.86,50.99
2025-07-20,S3,eu-central-1,StorageGB,42.25,5.45
2025-07-20,Lambda,us-east-1,Requests,118.7,57.99
2025-07-20,RDS,us-east-1,DBHours,492.02,22.43
2025-07-20,CloudFront,ap-south-1,DataTransferGB,27.45,1.35
2025-07-21,EC2,us-east-1,OnDemandHours,87.51,43.56
2025-07-21,S3,eu-central-1,StorageGB,246.45,77.69
2025-07-21,Lambda,us-east-1,Requests,58.43,9.62
2025-07-21,RDS,eu-central-1,DBHours,283.63,134.16
2025-07-21,CloudFront,us-west-2,DataTransferGB,414.68,8.46
2025-07-22,EC2,us-east-1,OnDemandHours,83.48,10.24
2025-07-22,S3,us-east-1,StorageGB,347.96,8.02
2025-07-22,Lambda,ap-south-1,Requests,300.77,50.3
2025-07-22,RDS,us-east-1,DBHours,13.46,6.08
2025-07-22,CloudFront,ap-south-1,DataTransferGB,386.75,143.45
2025-07-23,EC2,us-west-2,OnDemandHours,256.93,114.51
2025-07-23,S3,eu-central-1,StorageGB,84.6,26.53
2025-07-23,Lambda,ap-south-1,Requests,99.16,9.76
2025-07-23,RDS,eu-central-1,DBHours,249.25,65.5
2025-07-23,CloudFront,eu-central-1,DataTransferGB,317.26,43.8
2025-07-24,EC2,us-east-1,OnDemandHours,140.65,20.94
2025-07-24,S3,eu-central-1,StorageGB,106.52,32.55
2025-07-24,Lambda,us-west-2,Requests,402.16,115.95
2025-07-24,RDS,eu-central-1,DBHours,431.15,4.9
2025-07-24,CloudFront,us-west-2,DataTransferGB,496.31,130.88
2025-07-25,EC2,eu-central-1,OnDemandHours,292.75,10.91
2025-07-25,S3,eu-central-1,StorageGB,282.51,92.24
2025-07-25,Lambda,us-east-1,Requests,288.74,139.94
2025-07-25,RDS,eu-central-1,DBHours,346.09,102.64
2025-07-25,CloudFront,eu-central-1,DataTransferGB,160.66,61.86
2025-07-26,EC2,eu-central-1,OnDemandHours,47.41,7.12
2025-07-26,S3,us-east-1,StorageGB,251.73,23.5
2025-07-26,Lambda,us-east-1,Requests,386.77,161.02
2025-07-26,RDS,us-east-1,DBHours,386.55,165.26
2025-07-26,CloudFront,eu-central-1,DataTransferGB,255.5,65.52
2025-07-27,EC2,us-east-1,OnDemandHours,443.98,9.96
2025-07-27,S3,ap-south-1,StorageGB,334.34,22.0
2025-07-27,Lambda,us-west-2,Requests,249.85,71.22
2025-07-27,RDS,ap-south-1,DBHours,304.52,96.38
2025-07-27,CloudFront,us-west-2,DataTransferGB,168.86,23.72
2025-07-28,EC2,eu-central-1,OnDemandHours,227.85,78.82
2025-07-28,S3,us-west-2,StorageGB,337.21,15.71
2025-07-28,Lambda,ap-south-1,Requests,316.23,138.33
2025-07-28,RDS,ap-south-1,DBHours,230.52,45.85
2025-07-28,CloudFront,us-west-2,DataTransferGB,381.77,98.63
2025-07-29,EC2,us-east-1,OnDemandHours,170.92,46.93
2025-07-29,S3,us-east-1,StorageGB,394.39,111.52
2025-07-29,Lambda,ap-south-1,Requests,66.18,18.19
2025-07-29,RDS,us-west-2,DBHours,144.43,23.24
2025-07-29,CloudFront,us-east-1,DataTransferGB,50.78,3.68
2025-07-30,EC2,eu-central-1,OnDemandHours,195.08,18.06
2025-07-30,S3,eu-central-1,StorageGB,314.05,97.08
2025-07-30,Lambda,eu-central-1,Requests,137.88,1.86
2025-07-30,RDS,eu-central-1,DBHours,262.93,77.6
2025-07-30,CloudFront,eu-central-1,DataTransferGB,380.28,29.05
